Employee ID,Application,Entitlement Name,Entitlement ID,Access Level
Q420055,Active Directory,AD-Login,AD001,Read
Q420055,Active Directory,AD-Email,AD002,Read
Q420055,Active Directory,AD-Intranet,AD003,Read
Q420055,HR Portal,HRP-SelfService,HRP001,Read
Q420055,HR Portal,HRP-TimeEntry,HRP002,Write
Q420055,Compliance Training,CT-AnnualCert,CT001,Execute
Q420055,ServiceNow,SN-ChangeMgmt,SN002,Write
Q420055,ServiceNow,SN-ProblemMgmt,SN003,Write
Q420055,ServiceNow,SN-AssetMgmt,SN004,Read
Q420055,CI/CD Platform,CICD-Build,CICD001,Execute
Q420055,CI/CD Platform,CICD-Deploy,CICD002,Execute
Q420055,CI/CD Platform,CICD-RepoAccess,CICD003,Write
Q420055,Cloud Platform,CP-AWSConsole,CP001,Read
Q420055,Cloud Platform,CP-AzureConsole,CP002,Read
Q420055,Cloud Platform,CP-Kubernetes,CP003,Admin
Q420055,Monitoring Tools,MT-Splunk,MT001,Read
Q420055,Monitoring Tools,MT-Grafana,MT002,Read
Q420055,Monitoring Tools,MT-PagerDuty,MT003,Write
Q420055,HR Portal,HRP-TeamView,HRP010,Read
Q420055,HR Portal,HRP-Approval,HRP011,Approve
Q420055,HR Portal,HRP-BudgetView,HRP012,Read
Q420055,HR Portal,HRP-HiringApproval,HRP013,Approve
Q420055,Financial Reporting,FR-ExecDashboard,FR020,Read
X954781,Active Directory,AD-Login,AD001,Read
X954781,Active Directory,AD-Email,AD002,Read
X954781,Active Directory,AD-Intranet,AD003,Read
X954781,HR Portal,HRP-SelfService,HRP001,Read
X954781,HR Portal,HRP-TimeEntry,HRP002,Write
X954781,Compliance Training,CT-AnnualCert,CT001,Execute
X954781,CRM Platform,CRM-ClientView,CRM001,Read
X954781,CRM Platform,CRM-DealPipeline,CRM003,Write
X954781,CRM Platform,CRM-Reports,CRM004,Read
X954781,Credit Analysis System,CAS-CreditView,CAS001,Read
X954781,Credit Analysis System,CAS-CreditScore,CAS002,Execute
X954781,Credit Analysis System,CAS-LimitSet,CAS004,Write
X954781,Transaction Banking Platform,TBP-CashMgmt,TBP001,Read
X954781,Transaction Banking Platform,TBP-TradeFinance,TBP002,Read
X954781,Transaction Banking Platform,TBP-Payments,TBP003,Execute
X954781,Transaction Banking Platform,TBP-Custody,TBP004,Read
